,IC
momentum_3,-0.016318033671344944
cum_ret_3,-0.016318033671344944
bias_3,-0.022210064736062244
vol_mom_3,-0.01088780525546333
amt_mom_3,-0.010997324191352449
tradecount_mom_3,-0.012686365558100415
momentum_5,0.009841724326468827
cum_ret_5,0.009841724325286579
bias_5,-0.018026412498526455
vol_mom_5,-0.016122405012031344
amt_mom_5,-0.016092794333421256
tradecount_mom_5,-0.02168031673984652
momentum_10,0.017995205721097866
cum_ret_10,0.017995205721097866
bias_10,0.011783021214360069
vol_mom_10,-0.03365070872361313
amt_mom_10,-0.033621503672647594
tradecount_mom_10,-0.028393419119486382
momentum_20,0.015226383895804923
cum_ret_20,0.015225167021853765
bias_20,0.01864945317674928
vol_mom_20,-0.03448548643037778
amt_mom_20,-0.03435406370103291
tradecount_mom_20,-0.042248385250811184
price_vol_combo,-0.004613194157242567
vol_price_divergence,-0.01619257825755347
mom_diff,0.005926199181187806
