,IC
momentum_3,0.03692104225540494
cum_ret_3,0.03692104225540494
bias_3,0.0647231936080828
vol_mom_3,-0.0876837367802221
amt_mom_3,-0.08753522096589245
tradecount_mom_3,-0.10110956908761536
momentum_5,0.02382193661847497
cum_ret_5,0.02382193661847497
bias_5,0.051713206549582204
vol_mom_5,-0.09264416497883222
amt_mom_5,-0.09279268079316186
tradecount_mom_5,-0.09882243864154437
momentum_10,0.02296054550667646
cum_ret_10,0.02296054550667646
bias_10,0.005465381967330916
vol_mom_10,-0.11919879258097264
amt_mom_10,-0.11940671472103416
tradecount_mom_10,-0.13342661114617163
momentum_20,-0.030208116634649687
cum_ret_20,-0.030208116634649687
bias_20,-0.00591092941031985
vol_mom_20,-0.09712934257158748
amt_mom_20,-0.09825806276049277
tradecount_mom_20,-0.10066401895263302
price_vol_combo,-0.013544642266863575
vol_price_divergence,-0.09240653967590477
mom_diff,-0.05135676859519105
