,IC
momentum_3,0.05408985281864217
cum_ret_3,0.05408985281864217
bias_3,0.02007833599169377
vol_mom_3,-0.06224539554083877
amt_mom_3,-0.062238044880052176
tradecount_mom_3,-0.0697724751585986
momentum_5,0.01860452598684478
cum_ret_5,0.01860452598684478
bias_5,0.04242066339940724
vol_mom_5,-0.06619270038323727
amt_mom_5,-0.06613389509694455
tradecount_mom_5,-0.06609714504192396
momentum_10,0.0030100959472052547
cum_ret_10,0.0030100959472052547
bias_10,0.019288133904010504
vol_mom_10,-0.09719778758107123
amt_mom_10,-0.0972859955105103
tradecount_mom_10,-0.07637336757481053
momentum_20,0.002837355389044688
cum_ret_20,0.002837355389044688
bias_20,0.01727405284848502
vol_mom_20,-0.0883622933155908
amt_mom_20,-0.0880168122586211
tradecount_mom_20,-0.10092825256051943
price_vol_combo,-0.05304237796966437
vol_price_divergence,-0.06647937615391425
mom_diff,-0.012429968204759476
