,IC
momentum_3,-0.018888794725704698
cum_ret_3,-0.018888794725704698
bias_3,-0.016962399456057892
vol_mom_3,-0.04799770445452344
amt_mom_3,-0.0473555946959345
tradecount_mom_3,-0.0655487045226212
momentum_5,-0.037884508847033274
cum_ret_5,-0.037884508847033274
bias_5,0.009792175529079091
vol_mom_5,-0.10685776565850982
amt_mom_5,-0.1073928571240006
tradecount_mom_5,-0.06811714355697697
momentum_10,-0.07876547747980558
cum_ret_10,-0.07876547747980558
bias_10,-0.03858009466188562
vol_mom_10,-0.0762505338324369
amt_mom_10,-0.07689264359102585
tradecount_mom_10,-0.07903302325928861
momentum_20,-0.044359097987392467
cum_ret_20,-0.044359097987392467
bias_20,-0.0473555946959345
vol_mom_20,-0.028734411696855165
amt_mom_20,-0.029269503162345955
tradecount_mom_20,-0.08042424726326503
price_vol_combo,-0.0047623173705907615
vol_price_divergence,-0.10653671077921534
mom_diff,-0.030232667800229363
