Datetime,ClosePrice,AvgPrice,MedianPrice,LogAvgPrice,TotalVolume,TotalAmount,TradeCount,VWAP,FutureDirection
2023-07-03 09:00:00,36.65,36.5399881595055,36.54001208791209,3.598404668324423,633626,23143234.07,1360,36.53995853308791,0
2023-07-03 10:00:00,36.54,36.56815641065505,36.56819954128441,3.599176411586766,419945,15358963.67,1425,36.56815560393211,1
2023-07-03 11:00:00,36.655,36.63309039190929,36.63310287610619,3.6009504648818083,414996,15206611.3455,990,36.63308104884292,0
2023-07-03 12:00:00,36.6325,36.66720903217129,36.66724131944444,3.6018827458955154,625304,22928474.4095,1025,36.66717944090046,1
2023-07-03 13:00:00,36.65,36.65,36.65,3.6014134283326604,3518721,128961124.64999999,3,36.65,0
2023-07-03 15:00:00,36.65,36.65,36.65,3.6014134283326604,1172907,42987041.55,2,36.65,0
2023-07-05 09:00:00,36.76,36.67637411755586,36.67633174386921,3.6021316338273177,775653,28364202.8075,1047,36.6763209640436,1
2023-07-05 10:00:00,36.81,36.7384384884,36.738427083333335,3.603823404055354,359589,13212206.35,939,36.73840414738889,1
2023-07-05 11:00:00,36.91,36.92120683603419,36.921217948717945,3.6087855898821735,410270,15148057.6575,887,36.921249259,0
2023-07-05 12:00:00,36.62,36.75874128958365,36.75875650557621,3.604373919167682,363232,13358042.62,526,36.758691286486986,0
2023-07-05 13:00:00,36.54,36.58356517118055,36.58353993055555,3.5995986091643024,283203,10360394.31,598,36.58352796923264,0
2023-07-05 14:00:00,36.505,36.511495877474786,36.511503151260506,3.597626856357306,323192,11798659.48,607,36.51140331323109,0
2023-07-05 15:00:00,36.46,36.44962572537713,36.44965486348123,3.5959307896123787,891388,32492421.412499998,1324,36.449594465902734,0
2023-07-06 09:00:00,36.09,36.092928161294964,36.092847721822544,3.5860960199585494,703672,25423509.240000002,1151,36.092736666681056,0
2023-07-06 10:00:00,35.92,35.94490954638074,35.94493216630197,3.5819859408347168,521711,18752119.044999998,1128,35.9449066631488,1
2023-07-06 11:00:00,35.93,35.86115057747743,35.861167100694445,3.5796541602027236,642888,23050342.8825,1335,35.86113816942361,0
2023-07-06 12:00:00,35.84,35.892553301130434,35.892546376811595,3.580529409748952,308679,11079863.9025,696,35.892568675886956,1
2023-07-06 13:00:00,35.85,35.85440380466901,35.85439700704225,3.579466330634507,361267,12954360.040000001,577,35.854362232816904,0
2023-07-06 14:00:00,35.765,35.82192486084229,35.82192953020134,3.578559509609347,404946,14499281.42,608,35.8218963900604,0
2023-07-06 15:00:00,35.64,35.70177497785714,35.701759398496236,3.5751999078743517,1698098,60589533.284,1900,35.70178906776391,0
2023-07-07 09:00:00,35.54,35.56345634254198,35.56338358778626,3.5713170187222323,756032,26859289.999,1202,35.56350276919593,1
2023-07-07 10:00:00,35.595,35.57058943125183,35.57058985330073,3.5715184267478075,332312,11818145.727500001,793,35.57059713224939,1
2023-07-07 11:00:00,35.61,35.62571144385,35.62568828125,3.57306690180476,321500,11453326.8025,629,35.625673042153124,1
2023-07-07 12:00:00,35.74,35.65913140629338,35.65910640495868,3.5740046986380083,309058,11021331.3925,488,35.659143562024795,0
2023-07-07 13:00:00,35.625,35.71377343940693,35.71369696969697,3.5755359865790286,266289,9510951.5925,441,35.713758366813856,1
2023-07-07 14:00:00,35.65,35.676080585982994,35.67608163265306,3.5744803580152418,259136,9244856.8335,529,35.676102452887754,0
2023-07-07 15:00:00,35.52,35.56251294041101,35.56253623853211,3.5712910040444448,1185238,42128307.3575,1532,35.56253767167706,0
2023-07-10 09:00:00,35.97,35.785895706744846,35.78591494845361,3.5775458628403647,635591,22673360.425,1249,35.7857990105799,0
2023-07-10 10:00:00,35.735,35.80833608563073,35.8083423180593,3.578177536608257,245937,8803155.4725,795,35.80829017401078,0
2023-07-10 11:00:00,35.645,35.66520061195533,35.665233676975944,3.5741752039304107,280803,10015039.3,603,35.66516300187629,1
2023-07-10 12:00:00,35.65,35.65731417304145,35.65714896373057,3.5739541736177722,309187,11024907.495,550,35.65728412697928,0
2023-07-10 13:00:00,35.605,35.628453125300545,35.628340163934425,3.573144336529619,294419,10489900.6,469,35.62844123514754,0
2023-07-10 14:00:00,35.58,35.59680372978261,35.596747282608696,3.5722557993878574,200765,7146272.1450000005,347,35.59673219267391,1
2023-07-10 15:00:00,35.68,35.60465266834125,35.604604751619874,3.572476149651458,806072,28711201.97,1441,35.6046572702635,0
2023-07-11 09:00:00,35.92,35.75701030715444,35.756887065637066,3.5767444835987208,595453,21245659.5635,603,35.75713207189189,0
2023-07-11 10:00:00,35.88,35.859000482619166,35.859039926289924,3.579593601335604,219198,7861779.018,764,35.859013107157246,1
2023-07-11 11:00:00,35.935,35.845646266842266,35.84565848214286,3.5792210458938807,286664,10275639.4175,693,35.84561004269345,0
2023-07-11 12:00:00,35.865,35.95210489395549,35.95216617210682,3.5821868351233945,341749,12287709.5275,672,35.95210892581306,1
2023-07-11 13:00:00,35.935,35.88355639920961,35.88352620087336,3.5802788127399894,168120,6032626.93,438,35.883573584362445,0
2023-07-11 14:00:00,35.925,35.92502075883478,35.92505,3.5814339150231578,296934,10667991.8125,695,35.9249884895884,1
2023-07-11 15:00:00,36.02,35.92615954011033,35.92616418563923,3.5814646700288564,661438,23778896.647,1254,35.926159583430824,0
2023-07-12 09:00:00,36.14,36.130643326840236,36.13059763313609,3.587140736208896,669177,24195103.6125,1086,36.13069209078994,0
2023-07-12 10:00:00,36.11,36.108524130038234,36.108535294117644,3.5865281869520707,319577,11535352.3025,703,36.108492126597056,0
2023-07-12 11:00:00,36.1,36.16101762063703,36.16106296296296,3.5879811084245428,314393,11369425.121,632,36.161104441733336,1
2023-07-12 12:00:00,36.125,36.1187934835479,36.118779693486594,3.5868131174556614,293757,10611257.315,622,36.11884742190804,0
2023-07-12 13:00:00,36.08,36.052169574812275,36.05220216606499,3.5849666161158598,274341,9890207.7025,558,36.05217022211191,0
2023-07-12 14:00:00,36.03,36.06616058880237,36.06613833992095,3.5853548474127166,193873,6992701.6245,452,36.06614887062845,0
2023-07-12 15:00:00,35.985,35.96648042925505,35.96647411616162,3.582587255034876,487773,17544027.8375,1039,35.96643338377273,0
2023-07-13 09:00:00,36.24,36.12432681644828,36.124310344827585,3.586964473647013,568671,20508062.3175,754,36.12423238492069,0
2023-07-13 10:00:00,36.21,36.289411458923986,36.28935688836105,3.591525237380387,385612,13993361.0,1108,36.28942909362233,0
2023-07-13 11:00:00,36.2,36.15828280873863,36.15830303030303,3.5879055038348917,289653,10474880.2675,556,36.158317187060604,0
2023-07-13 12:00:00,36.115,36.140535688683876,36.14052419354839,3.5874144461033577,201428,7279438.2825,628,36.14052676863548,0
2023-07-13 13:00:00,35.98,36.02767471738318,36.02769742990654,3.5842870292102957,206386,7434931.244,716,36.02768939439019,1
2023-07-13 14:00:00,35.99,35.96410885450709,35.96412677304964,3.582521260796351,250776,9018765.5,575,35.96410346247163,1
2023-07-13 15:00:00,36.06,36.032698734151396,36.032700199203184,3.584426548436709,544932,19636341.335,1145,36.03268318453188,0
2023-07-14 09:00:00,36.19,36.27482826195041,36.274881542699724,3.591123138873856,653196,23721581.3925,896,36.275089519617076,1
2023-07-14 10:00:00,36.29,36.155990811275004,36.15596923076923,3.587839717931893,396501,14337756.761500001,965,36.15604952521346,0
